taxonomy_display_name,description,id
gdpr_compliance,production taxonomy for applying gdpr rules based on 5 year constraints,6126692965998272750
gdpr_compliance_measures_high,Taxonomy for high sensitivity data,7698000960465061299
gdpr_compliance_measures_low,Taxonomy for low sensitivity data,8248486934170083143
gdpr_compliance_measures_medium,Taxonomy for medium sensitivity data,655384675748637071
gdpr_compliance_measures_prod_high,Taxonomy for high sensitivity data,462501529798891334
gdpr_compliance_measures_prod_low,Taxonomy for low sensitivity data,8452725999489655507
gdpr_compliance_measures_prod_medium,Taxonomy for medium sensitivity data,1348545653474742340
