taxonomy_id,policy_tag_id,display_name,parent_policy_tag_id
3738755145388221461,3415853065509386770,ytunnus,8956417960342305075
3738755145388221461,622224427117421940,yv_koulutus,2677304483643846569
3738755145388221461,2104087165170870842,yv_osoite,8680019976067900932
3738755145388221461,4899847669753832245,yv_siviilisaaty,8078589600687026873
3738755145388221461,9127426232969017176,yv_ytunnus,3415853065509386770
4057054980872591736,8162405127972296956,PII,
4057054980872591736,6733820766697490513,amount_monthly,2953867959812253753
4057054980872591736,4227168824102380936,bank_bic,2953867959812253753
4057054980872591736,5961806324500856307,bank_iban,2953867959812253753
4057054980872591736,1438955634006760731,birth_date,3165510268950134104
4057054980872591736,3165510268950134104,birthdate,2953867959812253753
4057054980872591736,7774288826473124434,business_id,2953867959812253753
4057054980872591736,550198549685230690,business_identity_code,7774288826473124434
4057054980872591736,4237260191502231235,citizenship,2953867959812253753
4057054980872591736,7540902532624317274,citizenship_text,4237260191502231235
4057054980872591736,1058359201183225263,confidential,
4057054980872591736,8305344584860294035,dob,3165510268950134104
4057054980872591736,1370619815155824379,employer,2953867959812253753
4057054980872591736,6483808748790388009,employerCountry,1370619815155824379
4057054980872591736,4548969357852407791,employerDoc,1370619815155824379
4057054980872591736,5374698789674802356,employerPhone,1370619815155824379
4057054980872591736,7105380462973471269,employer_name,1370619815155824379
4057054980872591736,9033271581395214688,employer_phone,1370619815155824379
4057054980872591736,5188364041698882745,employment_business_id,7774288826473124434
4057054980872591736,1534246071747277677,employment_profession,2681520329031843677
4057054980872591736,2745296995999184386,employment_profession_class,2681520329031843677
4057054980872591736,7329225061060382501,gender,2953867959812253753
4057054980872591736,3485956512246805712,gross_income,2953867959812253753
4057054980872591736,9219822439340246747,gross_income_spouse,3485956512246805712
4057054980872591736,8065495458881038334,isPep,2953867959812253753
4057054980872591736,7417990799441190470,is_pep,8065495458881038334
4057054980872591736,2544701896420557509,ispep,8065495458881038334
4057054980872591736,3548723207329218482,nationality,2953867959812253753
4057054980872591736,8063408183742305884,post_code,2953867959812253753
4057054980872591736,457690552401007752,postalCode,8063408183742305884
4057054980872591736,480001508650957233,postal_code,8063408183742305884
4057054980872591736,5737669217175241375,postinro,8063408183742305884
4057054980872591736,2681520329031843677,profession,2953867959812253753
4057054980872591736,2662386866646944302,profession_area,2681520329031843677
4057054980872591736,1920903178915307867,profession_class,2681520329031843677
4057054980872591736,2953867959812253753,restricted,
4057054980872591736,3381978556847140882,yv_postinro,8063408183742305884
4057054980872591736,5601212733745250259,zip,8063408183742305884
6126692965998272750,7863276250486644733,Email,1064433561942680153
6126692965998272750,8366207286858665119,National_ID,1064433561942680153
6126692965998272750,5182730380171386868,National_ID_Cleaned,1064433561942680153
6126692965998272750,8460396741430475976,address,1064433561942680153
6126692965998272750,6971560812720190872,ammatti,1064433561942680153
6126692965998272750,5087277829810498721,bank_account,1064433561942680153
6126692965998272750,1514870378162304732,bank_account_number,1064433561942680153
6126692965998272750,5095344055803075463,bank_name,1064433561942680153
6126692965998272750,2923711198337398322,bankidnbr,1064433561942680153
6126692965998272750,6229980957805454362,business_address,1064433561942680153
6126692965998272750,4228202014731173699,business_city,1064433561942680153
6126692965998272750,3203396649923899026,business_organization_number,1064433561942680153
6126692965998272750,844401073565266868,business_postal,1064433561942680153
6126692965998272750,3997900563213251329,city,1064433561942680153
6126692965998272750,5561331012883213756,clearing_number,1064433561942680153
6126692965998272750,3035155737219158586,code,1064433561942680153
6126692965998272750,3644811333575535094,contact_detail,1064433561942680153
6126692965998272750,5828019562037663672,customer_contactinfo,1064433561942680153
6126692965998272750,7022617370757560842,customer_email,1064433561942680153
6126692965998272750,8530402225817123221,customer_national_id,1064433561942680153
6126692965998272750,466734306467916591,customer_phone,1064433561942680153
6126692965998272750,3503548413281313292,customer_phone_number,1064433561942680153
6126692965998272750,4964219634148636232,customer_ssn,1064433561942680153
6126692965998272750,1871631373073602497,data,1064433561942680153
6126692965998272750,8192857231542342371,email,1064433561942680153
6126692965998272750,1243365869146307271,emailId,1064433561942680153
6126692965998272750,3166472015383509085,employer,1064433561942680153
6126692965998272750,6469051884091424795,employerPhone,1064433561942680153
6126692965998272750,7554052221379315184,employer_name,1064433561942680153
6126692965998272750,1429159303596593910,employer_phone,1064433561942680153
6126692965998272750,2039830746154717478,etunimi,1064433561942680153
6126692965998272750,1208431314850594597,external_phone,1064433561942680153
6126692965998272750,71389309590075218,first_name,1064433561942680153
6126692965998272750,5710986738747558502,firstname,1064433561942680153
6126692965998272750,6640896774671354859,fname,1064433561942680153
6126692965998272750,167207193319048123,foreignerSSN,1064433561942680153
6126692965998272750,6463505053322396100,fourth_phone,1064433561942680153
6126692965998272750,3401802613658566000,fullname,1064433561942680153
6126692965998272750,1064433561942680153,gdpr_5year_compliant,
6126692965998272750,5611591747851641696,identify,1064433561942680153
6126692965998272750,4720961869399016372,kaupunki,1064433561942680153
6126692965998272750,2716384524483642610,last_name,1064433561942680153
6126692965998272750,7792624092851844015,lastname,1064433561942680153
6126692965998272750,9189735492083634858,market_brand_ssn_id,1064433561942680153
6126692965998272750,5382111013085219915,message,1064433561942680153
6126692965998272750,3207163644118956797,mobile_phone,1064433561942680153
6126692965998272750,7613480861767098921,msg,1064433561942680153
6126692965998272750,8452974265843601388,nationalId,1064433561942680153
6126692965998272750,8766527890701409234,national_id,1064433561942680153
6126692965998272750,696293205601484700,occupation_title,1064433561942680153
6126692965998272750,6147861185079031584,original_phone,1064433561942680153
6126692965998272750,5127506583655154064,osoite,1064433561942680153
6126692965998272750,5385883861234711269,pankki,1064433561942680153
6126692965998272750,5230172317647726685,phone,1064433561942680153
